Scope,Family,Segment,Rule,Selection,Selected,Targets,Stops,Unresolved,TargetRate,TotalProxyTicks,ProxyTicksPerSelected,NetAtHalfTick,NetAtOneTick,NetAtOneHalfTicks
ALL_HOURS,COMBINED,SHORT,DEPTH,DROPPED,661,492,157,12,75.80893682588598,890,1.346444780635401,0.846444780635401,0.34644478063540096,-0.15355521936459904
ALL_HOURS,COMBINED,SHORT,DEPTH,MISSING,61,47,13,1,78.33333333333333,105,1.721311475409836,1.221311475409836,0.721311475409836,0.22131147540983598
ALL_HOURS,COMBINED,SHORT,SPEED,ELIGIBLE,929,698,217,14,76.28415300546447,1320,1.4208826695371366,0.9208826695371366,0.4208826695371366,-0.0791173304628634
ALL_HOURS,COMBINED,SHORT,SPEED,KEPT,457,344,108,5,76.10619469026548,640,1.400437636761488,0.9004376367614879,0.4004376367614879,-0.09956236323851209
ALL_HOURS,COMBINED,SHORT,SPEED,DROPPED,472,354,109,9,76.45788336933046,680,1.4406779661016949,0.9406779661016949,0.44067796610169485,-0.05932203389830515
ALL_HOURS,COMBINED,SHORT,SPEED,MISSING,76,52,17,7,75.3623188405797,90,1.1842105263157894,0.6842105263157894,0.18421052631578938,-0.3157894736842106
ALL_HOURS,COMBINED,UNAMBIGUOUS,BASELINE,ALL,1896,1434,450,12,76.11464968152866,2670,1.4082278481012658,0.9082278481012658,0.4082278481012658,-0.09177215189873422
ALL_HOURS,COMBINED,UNAMBIGUOUS,ROOM,ELIGIBLE,1896,1434,450,12,76.11464968152866,2670,1.4082278481012658,0.9082278481012658,0.4082278481012658,-0.09177215189873422
ALL_HOURS,COMBINED,UNAMBIGUOUS,ROOM,KEPT,1560,1190,359,11,76.82375726275016,2360,1.5128205128205128,1.0128205128205128,0.5128205128205128,0.012820512820512775
ALL_HOURS,COMBINED,UNAMBIGUOUS,ROOM,DROPPED,336,244,91,1,72.83582089552239,310,0.9226190476190477,0.42261904761904767,-0.07738095238095233,-0.5773809523809523
ALL_HOURS,COMBINED,UNAMBIGUOUS,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,COMBINED,UNAMBIGUOUS,DEPTH,ELIGIBLE,1776,1344,422,10,76.10419026047565,2500,1.4076576576576576,0.9076576576576576,0.4076576576576576,-0.0923423423423424
ALL_HOURS,COMBINED,UNAMBIGUOUS,DEPTH,KEPT,540,400,136,4,74.6268656716418,640,1.1851851851851851,0.6851851851851851,0.18518518518518512,-0.3148148148148149
ALL_HOURS,COMBINED,UNAMBIGUOUS,DEPTH,DROPPED,1236,944,286,6,76.7479674796748,1860,1.5048543689320388,1.0048543689320388,0.5048543689320388,0.004854368932038833
ALL_HOURS,COMBINED,UNAMBIGUOUS,DEPTH,MISSING,120,90,28,2,76.27118644067797,170,1.4166666666666667,0.9166666666666667,0.41666666666666674,-0.08333333333333326
ALL_HOURS,COMBINED,UNAMBIGUOUS,SPEED,ELIGIBLE,1776,1344,422,10,76.10419026047565,2500,1.4076576576576576,0.9076576576576576,0.4076576576576576,-0.0923423423423424
ALL_HOURS,COMBINED,UNAMBIGUOUS,SPEED,KEPT,851,648,198,5,76.59574468085107,1260,1.4806110458284372,0.9806110458284372,0.48061104582843717,-0.019388954171562833
ALL_HOURS,COMBINED,UNAMBIGUOUS,SPEED,DROPPED,925,696,224,5,75.65217391304348,1240,1.3405405405405406,0.8405405405405406,0.3405405405405406,-0.15945945945945939
ALL_HOURS,COMBINED,UNAMBIGUOUS,SPEED,MISSING,120,90,28,2,76.27118644067797,170,1.4166666666666667,0.9166666666666667,0.41666666666666674,-0.08333333333333326
ALL_HOURS,EMA8,ALL,BASELINE,ALL,1130,834,281,15,74.79820627802691,1360,1.2035398230088497,0.7035398230088497,0.20353982300884965,-0.29646017699115035
ALL_HOURS,EMA8,ALL,ROOM,ELIGIBLE,1130,834,281,15,74.79820627802691,1360,1.2035398230088497,0.7035398230088497,0.20353982300884965,-0.29646017699115035
ALL_HOURS,EMA8,ALL,ROOM,KEPT,808,604,190,14,76.0705289672544,1120,1.386138613861386,0.886138613861386,0.38613861386138604,-0.11386138613861396
ALL_HOURS,EMA8,ALL,ROOM,DROPPED,322,230,91,1,71.65109034267913,240,0.7453416149068323,0.24534161490683226,-0.25465838509316774,-0.7546583850931677
ALL_HOURS,EMA8,ALL,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,EMA8,ALL,DEPTH,ELIGIBLE,1092,804,273,15,74.65181058495821,1290,1.1813186813186813,0.6813186813186813,0.18131868131868134,-0.31868131868131866
ALL_HOURS,EMA8,ALL,DEPTH,KEPT,515,376,130,9,74.30830039525692,580,1.1262135922330097,0.6262135922330097,0.12621359223300965,-0.37378640776699035
ALL_HOURS,EMA8,ALL,DEPTH,DROPPED,577,428,143,6,74.95621716287215,710,1.2305025996533796,0.7305025996533796,0.2305025996533796,-0.2694974003466204
ALL_HOURS,EMA8,ALL,DEPTH,MISSING,38,30,8,0,78.94736842105263,70,1.8421052631578947,1.3421052631578947,0.8421052631578947,0.3421052631578947
ALL_HOURS,EMA8,ALL,SPEED,ELIGIBLE,1079,799,267,13,74.953095684803,1325,1.2279888785912882,0.7279888785912882,0.22798887859128825,-0.27201112140871175
ALL_HOURS,EMA8,ALL,SPEED,KEPT,537,402,130,5,75.56390977443608,710,1.3221601489757915,0.8221601489757915,0.3221601489757915,-0.17783985102420852
ALL_HOURS,EMA8,ALL,SPEED,DROPPED,542,397,137,8,74.34456928838951,615,1.1346863468634687,0.6346863468634687,0.1346863468634687,-0.3653136531365313
ALL_HOURS,EMA8,ALL,SPEED,MISSING,51,35,14,2,71.42857142857143,35,0.6862745098039216,0.18627450980392157,-0.3137254901960784,-0.8137254901960784
ALL_HOURS,EMA8,DEV,BASELINE,ALL,550,410,134,6,75.36764705882354,710,1.290909090909091,0.790909090909091,0.290909090909091,-0.209090909090909
ALL_HOURS,EMA8,DEV,ROOM,ELIGIBLE,550,410,134,6,75.36764705882354,710,1.290909090909091,0.790909090909091,0.290909090909091,-0.209090909090909
ALL_HOURS,EMA8,DEV,ROOM,KEPT,382,289,88,5,76.657824933687,565,1.4790575916230366,0.9790575916230366,0.4790575916230366,-0.020942408376963373
ALL_HOURS,EMA8,DEV,ROOM,DROPPED,168,121,46,1,72.45508982035928,145,0.8630952380952381,0.36309523809523814,-0.13690476190476186,-0.6369047619047619
ALL_HOURS,EMA8,DEV,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,EMA8,DEV,DEPTH,ELIGIBLE,533,397,130,6,75.33206831119544,685,1.2851782363977486,0.7851782363977486,0.28517823639774864,-0.21482176360225136
ALL_HOURS,EMA8,DEV,DEPTH,KEPT,243,178,62,3,74.16666666666667,270,1.1111111111111112,0.6111111111111112,0.11111111111111116,-0.38888888888888884
ALL_HOURS,EMA8,DEV,DEPTH,DROPPED,290,219,68,3,76.30662020905923,415,1.4310344827586208,0.9310344827586208,0.4310344827586208,-0.06896551724137923
ALL_HOURS,EMA8,DEV,DEPTH,MISSING,17,13,4,0,76.47058823529412,25,1.4705882352941178,0.9705882352941178,0.47058823529411775,-0.02941176470588225
ALL_HOURS,EMA8,DEV,SPEED,ELIGIBLE,526,394,126,6,75.76923076923077,710,1.349809885931559,0.849809885931559,0.34980988593155904,-0.15019011406844096
ALL_HOURS,EMA8,DEV,SPEED,KEPT,259,197,59,3,76.953125,395,1.5250965250965252,1.0250965250965252,0.5250965250965252,0.025096525096525157
ALL_HOURS,EMA8,DEV,SPEED,DROPPED,267,197,67,3,74.62121212121212,315,1.1797752808988764,0.6797752808988764,0.1797752808988764,-0.3202247191011236
ALL_HOURS,EMA8,DEV,SPEED,MISSING,24,16,8,0,66.66666666666667,0,0.0,-0.5,-1.0,-1.5
ALL_HOURS,EMA8,LATER,BASELINE,ALL,580,424,147,9,74.25569176882662,650,1.1206896551724137,0.6206896551724137,0.1206896551724137,-0.3793103448275863
ALL_HOURS,EMA8,LATER,ROOM,ELIGIBLE,580,424,147,9,74.25569176882662,650,1.1206896551724137,0.6206896551724137,0.1206896551724137,-0.3793103448275863
ALL_HOURS,EMA8,LATER,ROOM,KEPT,426,315,102,9,75.53956834532374,555,1.3028169014084507,0.8028169014084507,0.30281690140845074,-0.19718309859154926
ALL_HOURS,EMA8,LATER,ROOM,DROPPED,154,109,45,0,70.77922077922078,95,0.6168831168831169,0.11688311688311692,-0.3831168831168831,-0.8831168831168831
ALL_HOURS,EMA8,LATER,ROOM,MISSING,0,0,0,0,,0,,,,
ALL_HOURS,EMA8,LATER,DEPTH,ELIGIBLE,559,407,143,9,74.0,605,1.0822898032200359,0.5822898032200359,0.08228980322003587,-0.4177101967799641
ALL_HOURS,EMA8,LATER,DEPTH,KEPT,272,198,68,6,74.43609022556392,310,1.1397058823529411,0.6397058823529411,0.13970588235294112,-0.3602941176470589
ALL_HOURS,EMA8,LATER,DEPTH,DROPPED,287,209,75,3,73.59154929577464,295,1.0278745644599303,0.5278745644599303,0.027874564459930307,-0.4721254355400697
ALL_HOURS,EMA8,LATER,DEPTH,MISSING,21,17,4,0,80.95238095238095,45,2.142857142857143,1.6428571428571428,1.1428571428571428,0.6428571428571428
ALL_HOURS,EMA8,LATER,SPEED,ELIGIBLE,553,405,141,7,74.17582417582418,615,1.1121157323688968,0.6121157323688968,0.11211573236889683,-0.3878842676311032
ALL_HOURS,EMA8,LATER,SPEED,KEPT,278,205,71,2,74.27536231884058,315,1.1330935251798562,0.6330935251798562,0.13309352517985618,-0.3669064748201438
ALL_HOURS,EMA8,LATER,SPEED,DROPPED,275,200,70,5,74.07407407407408,300,1.0909090909090908,0.5909090909090908,0.09090909090909083,-0.40909090909090917
ALL_HOURS,EMA8,LATER,SPEED,MISSING,27,19,6,2,76.0,35,1.2962962962962963,0.7962962962962963,0.2962962962962963,-0.20370370370370372
