Scope,Family,Segment,Feature,Bucket,Boundaries,Selected,Targets,Stops,Unresolved,TargetRate,TotalProxyTicks,ProxyTicksPerSelected,NetAtHalfTick,NetAtOneTick,NetAtOneHalfTicks
PRIME,COMBINED,LATER,DepthRatio,3,"(0, 0.5, 1)",130,107,22,1,82.94573643410853,315,2.423076923076923,1.923076923076923,1.423076923076923,0.9230769230769229
PRIME,COMBINED,LATER,DepthRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1)",29,24,5,0,82.75862068965517,70,2.413793103448276,1.9137931034482758,1.4137931034482758,0.9137931034482758
PRIME,COMBINED,LATER,SpeedRatio,1,"(0, 0.5, 1, 2)",72,60,12,0,83.33333333333333,180,2.5,2.0,1.5,1.0
PRIME,COMBINED,LATER,SpeedRatio,2,"(0, 0.5, 1, 2)",73,56,17,0,76.71232876712328,110,1.5068493150684932,1.0068493150684932,0.5068493150684932,0.006849315068493178
PRIME,COMBINED,LATER,SpeedRatio,3,"(0, 0.5, 1, 2)",67,56,11,0,83.58208955223881,170,2.537313432835821,2.037313432835821,1.5373134328358211,1.0373134328358211
PRIME,COMBINED,LATER,SpeedRatio,4,"(0, 0.5, 1, 2)",82,62,19,1,76.54320987654322,120,1.4634146341463414,0.9634146341463414,0.46341463414634143,-0.03658536585365857
PRIME,COMBINED,LATER,SpeedRatio,MISSING_OR_NO_LEVEL,"(0, 0.5, 1, 2)",32,26,5,1,83.87096774193549,80,2.5,2.0,1.5,1.0
PRIME,COMBINED,LONG,RoomTicks,1,"(0, 3, 6, 11)",11,9,2,0,81.81818181818181,25,2.272727272727273,1.772727272727273,1.272727272727273,0.7727272727272729
PRIME,COMBINED,LONG,RoomTicks,2,"(0, 3, 6, 11)",44,34,10,0,77.27272727272727,70,1.5909090909090908,1.0909090909090908,0.5909090909090908,0.09090909090909083
PRIME,COMBINED,LONG,RoomTicks,3,"(0, 3, 6, 11)",90,79,11,0,87.77777777777777,285,3.1666666666666665,2.6666666666666665,2.1666666666666665,1.6666666666666665
PRIME,COMBINED,LONG,RoomTicks,4,"(0, 3, 6, 11)",64,49,15,0,76.5625,95,1.484375,0.984375,0.484375,-0.015625
PRIME,COMBINED,LONG,RoomTicks,MISSING_OR_NO_LEVEL,"(0, 3, 6, 11)",116,90,26,0,77.58620689655173,190,1.6379310344827587,1.1379310344827587,0.6379310344827587,0.13793103448275867
PRIME,COMBINED,LONG,DepthRatio,1,"(0, 0.5, 1)",75,54,21,0,72.0,60,0.8,0.30000000000000004,-0.19999999999999996,-0.7
PRIME,COMBINED,LONG,DepthRatio,2,"(0, 0.5, 1)",85,73,12,0,85.88235294117646,245,2.8823529411764706,2.3823529411764706,1.8823529411764706,1.3823529411764706
