PullbackBars,Prior8Min,Prior24Min,GapMin,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
2,20,20,1.5,1,4.5,15,342,239,69.88,369,259,70.19
2,20,20,1.5,1,2.5,-999,178,128,71.91,179,128,71.51
2,20,20,1.5,1,2.5,0,178,128,71.91,179,128,71.51
2,20,20,1.5,1,2.5,15,178,128,71.91,179,128,71.51
2,20,20,3,0,4.5,-999,464,330,71.12,514,355,69.07
2,20,20,3,0,4.5,0,421,299,71.02,470,320,68.09
2,20,20,3,0,4.5,15,350,248,70.86,377,256,67.9
2,20,20,3,0.5,4.5,-999,444,316,71.17,501,346,69.06
2,20,20,3,0.5,4.5,0,401,285,71.07,457,311,68.05
2,20,20,3,0.5,4.5,15,330,234,70.91,364,247,67.86
2,20,20,3,1,4.5,-999,418,297,71.05,468,328,70.09
2,20,20,3,1,4.5,0,375,266,70.93,424,293,69.1
2,20,20,3,1,4.5,15,304,215,70.72,331,229,69.18
2,20,20,3,1,2.5,-999,160,117,73.12,169,118,69.82
2,20,20,3,1,2.5,0,160,117,73.12,169,118,69.82
2,20,20,3,1,2.5,15,160,117,73.12,169,118,69.82
2,20,20,5,0,4.5,-999,314,227,72.29,354,250,70.62
2,20,20,5,0,4.5,0,292,210,71.92,340,238,70.0
2,20,20,5,0,4.5,15,256,185,72.27,293,203,69.28
2,20,20,5,0.5,4.5,-999,295,213,72.2,342,242,70.76
2,20,20,5,0.5,4.5,0,273,196,71.79,328,230,70.12
2,20,20,5,0.5,4.5,15,237,171,72.15,281,195,69.4
2,20,20,5,1,4.5,-999,269,194,72.12,313,226,72.2
2,20,20,5,1,4.5,0,247,177,71.66,299,214,71.57
2,20,20,5,1,4.5,15,211,152,72.04,252,179,71.03
2,20,20,5,1,2.5,-999,114,85,74.56,136,102,75.0
2,20,20,5,1,2.5,0,114,85,74.56,136,102,75.0
2,20,20,5,1,2.5,15,114,85,74.56,136,102,75.0
2,20,30,1.5,0,4.5,-999,493,351,71.2,543,375,69.06
2,20,30,1.5,0,4.5,0,437,310,70.94,492,339,68.9
2,20,30,1.5,0,4.5,15,360,254,70.56,393,270,68.7
2,20,30,1.5,0.5,4.5,-999,473,337,71.25,530,366,69.06
2,20,30,1.5,0.5,4.5,0,417,296,70.98,479,330,68.89
