bar,time,direction,tail,body_ticks,distance8,close_extension,slope8,slope24,slope50,gap824,gap2450,body_depth,close_depth,strong_fan,moderate_fan,segment,outcome
31703,2026-08-27 07:05:12.848,1,2.0,3.0,-0.5861040000017965,4.0,22.001023,23.680938,21.049323,3.993372000000818,4.540364000000409,1,4,False,False,HOLD,TARGET
31704,2026-08-27 07:05:19.988,1,1.0,4.0,2.3219199999984994,5.0,51.940853,36.875523,28.355491,5.012768000000506,4.909116000002541,5,10,False,True,HOLD,STOP
31706,2026-08-27 07:05:40.492,1,2.0,3.0,-1.4348879999997735,2.0,52.06477,39.949424,30.972498,5.329367999998794,5.252528000000893,0,0,False,True,HOLD,STOP
31718,2026-08-27 07:07:02.832,-1,1.0,4.0,6.3342999999986205,5.0,70.231151,55.051562,33.039357,8.185887999999977,0.32778400000097463,10,10,False,False,HOLD,STOP
31730,2026-08-27 07:08:27.948,-1,1.0,4.0,0.6347080000014103,5.0,32.794209,19.613946,13.104581,2.5432639999999083,1.8454319999982545,1,6,False,False,HOLD,STOP
31746,2026-08-27 07:10:32.112,1,1.0,4.0,2.793151999998372,5.0,57.158476,36.223157,18.412511,4.049344000002748,0.21599199999764096,1,10,False,False,HOLD,TARGET
31747,2026-08-27 07:10:57.824,1,2.0,3.0,4.172451999998884,4.0,64.471313,44.824985,25.487426,5.402644000001601,0.8536480000002484,10,10,False,False,HOLD,STOP
31754,2026-08-27 07:12:10.092,1,5.0,0.0,-2.9345959999991464,1.0,9.989524,26.035263,18.280704,4.953259999998409,2.6868560000002617,1,1,False,False,HOLD,TARGET
31762,2026-08-27 07:14:01.400,1,1.0,4.0,0.4149279999983264,5.0,33.309138,25.084726,19.04573,3.6366800000032526,3.296783999998297,2,10,False,False,HOLD,STOP
31769,2026-08-27 07:15:29.352,1,1.0,4.0,0.2711200000012468,5.0,26.927019,12.19621,11.59321,1.4267599999984668,2.6751399999993737,4,5,False,False,HOLD,TARGET
31770,2026-08-27 07:15:53.252,1,2.0,3.0,2.210871999999654,4.0,53.633193,28.613085,20.154989,2.631175999998959,3.0065400000021327,6,10,False,False,HOLD,STOP
31776,2026-08-27 07:17:32.532,1,2.0,3.0,-0.7442640000008396,4.0,19.01996,16.742892,15.000902,2.697596000001795,3.2443639999983134,1,4,False,False,HOLD,TARGET
31777,2026-08-27 07:17:52.828,1,2.0,3.0,1.4211280000017723,4.0,49.163063,30.827236,22.505222,3.655935999999201,3.5638599999983853,5,10,False,True,HOLD,TARGET
31778,2026-08-27 07:18:28.068,1,4.0,1.0,1.5497680000007676,2.0,58.636798,39.203769,27.869503,4.561131999998906,3.9166519999998854,10,10,False,True,HOLD,TARGET
31779,2026-08-27 07:18:38.056,1,0.0,5.0,4.760927999999694,6.0,65.20743,46.948404,33.620619,5.981100000000879,4.460915999999997,10,10,False,True,HOLD,TARGET
31781,2026-08-27 07:19:40.668,1,0.0,0.0,3.3121680000003835,-1.0,60.196716,47.255856,35.096848,6.552683999998408,5.054512000002433,0,0,False,True,HOLD,TARGET
31784,2026-08-27 07:20:37.488,1,1.0,4.0,0.8505799999984447,5.0,39.369865,38.427007,30.608059,6.634196000002703,5.65982399999848,1,2,False,False,HOLD,TARGET
31785,2026-08-27 07:20:50.028,1,3.0,2.0,1.8837840000014694,3.0,55.463108,45.657616,35.457691,7.3622119999999995,6.0694039999980305,4,10,False,True,HOLD,STOP
31786,2026-08-27 07:21:01.624,1,3.0,2.0,2.687387999998464,3.0,62.789694,50.995485,39.626176,8.178928000001179,6.534756000000925,10,10,True,True,HOLD,STOP
31795,2026-08-27 07:23:20.936,1,0.0,5.0,1.5207159999990836,6.0,37.197996,26.851,25.591479,3.8780079999996815,6.068903999999748,3,7,False,False,HOLD,TARGET
31796,2026-08-27 07:23:31.880,1,2.0,3.0,3.182779999999184,4.0,58.429594,39.999579,32.747566,5.064044000002468,6.418151999998372,8,10,False,True,HOLD,STOP
31806,2026-08-27 07:25:23.848,1,3.0,2.0,-2.785380000001169,1.0,35.310042,24.070833,23.794738,2.8332080000000133,5.659240000000864,0,0,False,False,HOLD,TARGET
31807,2026-08-27 07:25:52.044,1,4.0,1.0,-1.7219640000002983,2.0,34.95548,24.905786,24.217966,3.2059680000020307,5.724747999996907,1,1,False,False,HOLD,TARGET
31811,2026-08-27 07:27:01.804,1,0.0,5.0,0.4608399999997346,4.0,49.66571,35.224927,29.80563,4.546220000000176,6.0828440000004775,0,0,False,True,HOLD,TARGET
31812,2026-08-27 07:27:02.132,1,0.0,5.0,3.913988000000245,6.0,58.885226,42.497624,34.258413,5.81250799999907,6.497136000001774,1,10,False,True,HOLD,TARGET
31813,2026-08-27 07:27:29.704,1,2.0,3.0,5.044212000000698,4.0,66.732664,50.573853,39.942395,7.184163999998418,7.006091999999626,10,10,True,True,HOLD,STOP
31815,2026-08-27 07:28:20.504,1,2.0,3.0,0.8168680000017048,2.0,63.801164,52.027298,41.991287,8.06602799999746,7.640348000000813,0,0,True,True,HOLD,STOP
31840,2026-08-27 07:35:22.668,1,3.0,2.0,-0.7386919999989914,3.0,29.444498,8.925908,7.979575,0.5359199999984412,1.7407800000000861,1,2,False,False,HOLD,TARGET
31841,2026-08-27 07:35:41.924,1,1.0,4.0,2.203239999998914,5.0,53.018575,24.914604,16.25367,1.8102080000026035,2.0720879999971658,3,10,False,False,HOLD,TARGET
31842,2026-08-27 07:35:49.512,1,2.0,3.0,3.713631999999052,4.0,62.50915,36.772043,23.60401,3.2587400000011257,2.52157200000147,10,10,False,True,HOLD,TARGET
31843,2026-08-27 07:36:50.584,1,4.0,1.0,3.332824000000983,2.0,66.587623,44.447023,29.406794,4.521759999999631,2.9925399999992806,10,10,False,True,HOLD,TARGET
31844,2026-08-27 07:37:07.932,1,4.0,1.0,3.0366399999984424,2.0,67.285395,48.13131,32.866479,5.629576000002999,3.481019999999262,10,10,False,True,HOLD,TARGET
31845,2026-08-27 07:37:17.724,1,0.0,5.0,5.917388000001665,6.0,68.95324,52.28505,36.924171,7.1755319999974745,4.146584000001894,10,10,False,True,HOLD,STOP
31873,2026-08-27 07:46:01.372,1,1.0,4.0,-0.37916799999948125,5.0,19.759501,6.162529,5.829101,0.629347999998572,1.3781479999997828,1,6,False,False,HOLD,STOP
31875,2026-08-27 07:46:59.356,1,1.0,4.0,-0.4762880000016594,3.0,48.721028,24.217664,15.304722,1.8336400000007416,1.7205480000011448,0,0,False,False,HOLD,STOP
31883,2026-08-27 07:48:42.724,1,1.0,4.0,1.3354240000007849,5.0,42.213232,13.648034,8.381103,0.6440199999997276,1.0333360000004177,5,6,False,False,HOLD,TARGET
31884,2026-08-27 07:48:56.212,1,1.0,4.0,3.8164399999986927,5.0,60.150564,30.82543,17.981308,2.204648000002635,1.4813880000001518,7,10,False,False,HOLD,TARGET
31885,2026-08-27 07:49:15.000,1,2.0,3.0,4.968344000000798,4.0,67.31555,42.685871,26.327944,3.8510559999995166,2.035919999998441,10,10,False,True,HOLD,TARGET
31886,2026-08-27 07:49:28.504,1,1.0,4.0,6.642044000000169,5.0,70.960947,50.702383,33.362463,5.67180400000143,2.7236159999993106,10,10,False,True,HOLD,TARGET
31887,2026-08-27 07:49:33.604,1,2.0,3.0,7.166035999998712,4.0,72.731215,55.787815,38.74887,7.442704000000958,3.486079999998765,10,10,False,True,HOLD,TARGET
31888,2026-08-27 07:49:51.540,1,3.0,2.0,6.795804000001226,3.0,73.568597,59.133838,42.859548,9.00423999999839,4.271447999999509,10,10,True,True,HOLD,TARGET
31890,2026-08-27 07:50:35.264,1,2.0,3.0,1.8764760000012757,2.0,67.630508,57.465392,43.013958,10.02947999999742,5.389952000001358,0,0,True,True,HOLD,TARGET
31895,2026-08-27 07:52:38.636,1,0.0,5.0,1.4587680000004184,6.0,36.343719,43.375523,35.116446,8.569499999997788,6.716480000002775,1,3,False,False,HOLD,TARGET
31896,2026-08-27 07:52:45.448,1,2.0,3.0,3.134600000001228,4.0,58.143445,51.173906,40.651669,9.371407999999064,7.229139999999461,4,10,False,True,HOLD,STOP
31918,2026-08-27 07:58:42.932,1,3.0,2.0,-0.4497880000017176,3.0,40.805532,14.434046,13.304369,0.6941440000009607,2.918924000001425,1,1,False,False,HOLD,TARGET
31919,2026-08-27 07:59:01.384,1,1.0,4.0,2.4279439999991155,5.0,54.697722,26.72367,19.693106,1.9968640000006417,3.2222680000013497,10,10,False,False,HOLD,TARGET
31920,2026-08-27 07:59:16.644,1,1.0,4.0,4.666180000000168,5.0,64.121263,39.002448,27.19477,3.604643999999098,3.6842080000024,10,10,False,True,HOLD,TARGET
