bar,time,direction,entry,families,segment,outcome
11995,2026-08-10 06:31:48.184,1,7779.5,EMA24,DEV,TARGET
11999,2026-08-10 06:32:38.048,1,7781.25,EMA8,DEV,TARGET
12030,2026-08-10 06:36:08.676,-1,7774.5,EMA24,DEV,STOP
12056,2026-08-10 06:39:22.584,-1,7771.75,PIN7,DEV,STOP
12220,2026-08-10 07:10:41.420,1,7788.75,PIN7,DEV,STOP
12231,2026-08-10 07:18:36.816,1,7787.75,EMA24,DEV,TARGET
12323,2026-08-10 07:56:57.028,-1,7786.5,EMA24,DEV,TARGET
12326,2026-08-10 07:57:25.276,-1,7785.25,EMA8,DEV,TARGET
12328,2026-08-10 07:58:32.656,-1,7784.75,EMA8,DEV,TARGET
12719,2026-08-10 11:36:11.156,-1,7772.25,EMA50,DEV,TARGET
12741,2026-08-10 12:01:25.288,1,7778.5,EMA8,DEV,TARGET
12747,2026-08-10 12:13:28.732,1,7780.25,EMA8,DEV,TARGET
12749,2026-08-10 12:17:41.588,1,7780.25,EMA8,DEV,TARGET
12792,2026-08-10 12:55:05.104,-1,7774.0,EMA24,DEV,TARGET
13319,2026-08-11 06:31:41.036,-1,7783.0,EMA8,DEV,TARGET
13322,2026-08-11 06:31:59.108,-1,7782.25,EMA8,DEV,TARGET
13324,2026-08-11 06:32:15.448,-1,7782.0,EMA8,DEV,TARGET
13329,2026-08-11 06:32:42.888,-1,7780.5,EMA8,DEV,TARGET
13341,2026-08-11 06:35:10.428,-1,7779.5,EMA8,DEV,TARGET
13344,2026-08-11 06:35:35.276,-1,7777.25,PIN7,DEV,TARGET
13345,2026-08-11 06:35:49.752,-1,7776.75,PIN7,DEV,STOP
13346,2026-08-11 06:36:02.564,-1,7776.0,PIN7,DEV,STOP
13351,2026-08-11 06:36:56.020,-1,7778.75,EMA24,DEV,STOP
13389,2026-08-11 06:44:24.384,-1,7778.5,PIN7,DEV,STOP
13576,2026-08-11 07:40:32.620,-1,7780.0,EMA24,DEV,STOP
13902,2026-08-11 11:23:31.400,-1,7749.0,PIN7,DEV,TARGET
13910,2026-08-11 11:29:04.884,-1,7744.25,PIN,DEV,TARGET
13916,2026-08-11 11:29:56.236,-1,7739.75,PIN,DEV,STOP
13929,2026-08-11 11:37:46.672,-1,7746.75,EMA50,DEV,TARGET
13961,2026-08-11 12:06:52.116,-1,7745.75,EMA50,DEV,TARGET
13972,2026-08-11 12:23:11.516,1,7751.0,PIN7,DEV,TARGET
13985,2026-08-11 12:36:35.848,1,7754.0,EMA8,DEV,TARGET
13987,2026-08-11 12:38:21.000,1,7756.0,PIN7,DEV,STOP
13995,2026-08-11 12:46:08.832,1,7751.25,EMA50,DEV,STOP
13997,2026-08-11 12:46:39.000,1,7751.25,EMA50,DEV,STOP
14018,2026-08-11 12:54:13.412,-1,7745.25,EMA8,DEV,STOP
14043,2026-08-11 12:59:39.544,-1,7744.0,PIN7,DEV,STOP
14765,2026-08-12 06:31:20.752,-1,7778.5,PIN,DEV,TARGET
14766,2026-08-12 06:31:26.692,-1,7777.75,PIN,DEV,TARGET
14782,2026-08-12 06:33:10.604,-1,7773.75,EMA8,DEV,STOP
14787,2026-08-12 06:33:51.856,-1,7776.25,EMA24,DEV,TARGET
14831,2026-08-12 06:38:44.284,-1,7774.25,PIN7,DEV,TARGET
14836,2026-08-12 06:40:03.360,-1,7772.5,PIN7,DEV,TARGET
14850,2026-08-12 06:42:02.528,-1,7773.75,EMA50,DEV,TARGET
14975,2026-08-12 07:02:32.248,-1,7767.75,PIN7,DEV,TARGET
15020,2026-08-12 07:16:09.928,1,7771.0,PIN7,DEV,TARGET
15028,2026-08-12 07:18:18.288,1,7772.5,PIN7,DEV,TARGET
15094,2026-08-12 07:31:10.180,-1,7763.25,EMA8,DEV,TARGET
15096,2026-08-12 07:31:10.232,-1,7763.5,EMA8,DEV,TARGET
15098,2026-08-12 07:31:10.312,-1,7763.0,EMA8,DEV,TARGET
15139,2026-08-12 07:31:20.008,1,7768.0,EMA24,DEV,TARGET
15146,2026-08-12 07:31:46.028,1,7770.5,PIN7,DEV,STOP
15148,2026-08-12 07:32:03.888,1,7770.25,EMA8,DEV,STOP
15175,2026-08-12 07:37:31.176,1,7770.25,PIN7,DEV,TARGET
15177,2026-08-12 07:38:09.784,1,7771.75,PIN7,DEV,STOP
15182,2026-08-12 07:39:18.036,1,7770.5,EMA24,DEV,TARGET
15196,2026-08-12 07:43:43.552,1,7774.0,EMA8,DEV,TARGET
15226,2026-08-12 07:53:06.900,-1,7768.25,EMA24,DEV,TARGET
15240,2026-08-12 07:56:17.312,-1,7766.0,EMA24,DEV,TARGET
15248,2026-08-12 07:58:42.032,-1,7766.75,EMA50,DEV,TARGET
15513,2026-08-12 11:36:03.720,1,7779.25,PIN7,DEV,TARGET
15514,2026-08-12 11:40:25.116,1,7779.75,PIN7,DEV,TARGET
15518,2026-08-12 11:48:22.108,1,7779.75,EMA8,DEV,TARGET
15548,2026-08-12 12:42:11.932,-1,7772.0,PIN7,DEV,TARGET
15553,2026-08-12 12:45:32.068,-1,7773.5,EMA24+EMA50,DEV,TARGET
15567,2026-08-12 12:54:35.500,-1,7766.75,PIN7,DEV,TARGET
15570,2026-08-12 12:54:50.036,-1,7767.5,EMA8,DEV,TARGET
15573,2026-08-12 12:55:17.252,-1,7765.0,PIN7,DEV,STOP
16005,2026-08-13 06:32:49.272,1,7790.5,EMA50,DEV,TARGET
16016,2026-08-13 06:34:21.652,1,7795.5,EMA8,DEV,TARGET
16026,2026-08-13 06:35:48.232,1,7802.25,PIN7,DEV,TARGET
16030,2026-08-13 06:36:43.512,1,7803.5,PIN7,DEV,TARGET
16037,2026-08-13 06:39:21.008,1,7806.5,EMA8,DEV,TARGET
16040,2026-08-13 06:39:57.076,1,7809.0,PIN7,DEV,STOP
16104,2026-08-13 07:01:09.296,1,7824.75,PIN,DEV,TARGET
16111,2026-08-13 07:04:44.408,1,7825.5,EMA8,DEV,TARGET
16122,2026-08-13 07:08:55.156,1,7825.0,EMA24,DEV,TARGET
16127,2026-08-13 07:12:43.788,1,7829.75,PIN7,DEV,STOP
16132,2026-08-13 07:15:52.120,1,7829.75,EMA8,DEV,STOP
16156,2026-08-13 07:25:26.124,1,7835.25,EMA8,DEV,TARGET
16159,2026-08-13 07:27:01.668,1,7835.5,EMA8,DEV,TARGET
16173,2026-08-13 07:35:26.280,1,7837.0,EMA8,DEV,TARGET
16195,2026-08-13 07:47:27.768,-1,7827.5,EMA8,DEV,TARGET
16200,2026-08-13 07:49:10.108,-1,7822.5,PIN,DEV,TARGET
