bar,time,text_time,direction,entry,early,result,won,tail,body,finish,s8,s24,s50,gap824,gap2450,body_distance8,bar_distance8,close_extension,prior_streak
1047,63921422051,2026-08-03 06:34:11.036,1,7564.75,True,STOP,False,3.0,2.0,0.0,73.991151,65.040766,54.675263,13.87421600000016,10.647971999998845,10.555592000000615,7.555592000000615,3.0,4
1069,63921422144,2026-08-03 06:35:44.004,1,7566.25,True,TARGET,True,3.0,2.0,0.0,66.208291,52.321695,44.882257,8.0563719999991,9.877071999999316,7.056916000001365,4.056916000001365,3.0,3
1080,63921422205,2026-08-03 06:36:45.672,1,7567.5,True,TARGET,True,3.0,2.0,0.0,46.298846,41.213677,39.559803,6.890608000001521,10.304895999997825,3.799852000000101,0.7998520000001008,3.0,2
1081,63921422212,2026-08-03 06:36:52.268,1,7568.25,True,TARGET,True,3.0,2.0,0.0,58.450318,47.703498,43.151964,7.590887999998813,10.54070800000045,4.844332000000577,1.844332000000577,3.0,3
1103,63921422335,2026-08-03 06:38:55.400,1,7567.75,True,TARGET,True,4.0,1.0,0.0,45.446496,16.715757,21.186109,0.7349240000003192,6.020712000001367,3.629959999998391,-0.37004000000160886,2.0,3
1108,63921422391,2026-08-03 06:39:51.832,1,7568.75,True,TARGET,True,4.0,1.0,0.0,52.257092,32.876681,28.866292,3.378767999998672,6.14678400000048,2.443812000001344,-1.5561879999986559,0.0,0
1168,63921422632,2026-08-03 06:43:52.160,-1,7562.25,True,STOP,False,3.0,2.0,0.0,19.315387,14.330439,12.770411,2.145096000000194,2.7365239999999176,1.6908320000002277,-1.3091679999997723,3.0,1
1235,63921422966,2026-08-03 06:49:26.124,1,7572.75,True,STOP,False,3.0,2.0,0.0,38.091531,21.742373,19.557831,2.502887999999075,4.249080000001413,2.8460960000011255,-0.1539039999988745,3.0,1
1262,63921423088,2026-08-03 06:51:28.664,1,7574.5,True,TARGET,True,3.0,2.0,0.0,64.40031,38.868105,24.74534,3.3264080000008107,2.4367959999981395,6.32051599999977,3.3205159999997704,3.0,4
1267,63921423113,2026-08-03 06:51:53.524,1,7575.25,True,TARGET,True,3.0,2.0,0.0,47.533958,36.670081,26.022125,5.3295040000011795,3.7274079999988317,3.66915599999993,0.6691559999999299,3.0,1
1274,63921423147,2026-08-03 06:52:27.472,1,7577.25,True,TARGET,True,4.0,1.0,0.0,49.044267,43.142447,33.564618,7.14561600000161,5.803771999999299,4.247611999999208,0.2476119999992079,2.0,1
1278,63921423192,2026-08-03 06:53:12.048,1,7578.75,True,TARGET,True,4.0,1.0,0.0,56.438959,47.733713,38.011276,7.972583999999188,6.874532000001636,5.448331999999937,1.4483319999999367,2.0,2
1283,63921423236,2026-08-03 06:53:56.108,1,7580.0,True,TARGET,True,3.0,2.0,0.0,54.680128,47.449827,39.370252,8.119731999999203,7.9061839999994845,4.518756000001304,1.5187560000013036,3.0,2
1292,63921423316,2026-08-03 06:55:16.712,1,7580.25,True,TARGET,True,4.0,1.0,0.0,26.635534,34.370211,33.623918,6.050944000002346,8.469364000000496,1.751511999998911,-2.248488000001089,2.0,1
1293,63921423325,2026-08-03 06:55:25.964,1,7580.75,True,TARGET,True,4.0,1.0,0.0,37.251391,37.327989,35.156322,6.242640000000392,8.57780400000047,2.6956199999985984,-1.3043800000014016,2.0,2
1295,63921423333,2026-08-03 06:55:33.108,1,7582.75,True,TARGET,True,3.0,2.0,0.0,59.816174,48.565573,41.792863,7.810096000001067,9.186440000001312,5.593647999998211,2.593647999998211,3.0,4
1296,63921423363,2026-08-03 06:56:03.312,1,7583.5,True,STOP,False,3.0,2.0,0.0,65.076856,53.176915,45.07484,8.691940000000614,9.576771999996708,6.239504000001034,3.239504000001034,3.0,4
