BarNumber,Time,Families,Direction,Horizon,TargetTicks,ExitReason,PnlTicks
2338,2026-08-04 03:45:07.924,EMA8,1,48,15,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,48,20,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,48,25,BREAK_EVEN,0.0000
2338,2026-08-04 03:45:07.924,EMA8,1,48,30,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,12,5,TARGET,5.0000
2343,2026-08-04 03:45:57.792,EMA8,1,12,10,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,12,15,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,12,20,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,12,25,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,12,30,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,24,5,TARGET,5.0000
2343,2026-08-04 03:45:57.792,EMA8,1,24,10,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,24,15,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,24,20,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,24,25,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,24,30,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,48,5,TARGET,5.0000
2343,2026-08-04 03:45:57.792,EMA8,1,48,10,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,48,15,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,48,20,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,48,25,BREAK_EVEN,0.0000
2343,2026-08-04 03:45:57.792,EMA8,1,48,30,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,12,5,TARGET,5.0000
2345,2026-08-04 03:46:13.976,EMA8,1,12,10,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,12,15,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,12,20,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,12,25,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,12,30,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,24,5,TARGET,5.0000
2345,2026-08-04 03:46:13.976,EMA8,1,24,10,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,24,15,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,24,20,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,24,25,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,24,30,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,48,5,TARGET,5.0000
2345,2026-08-04 03:46:13.976,EMA8,1,48,10,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,48,15,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,48,20,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,48,25,BREAK_EVEN,0.0000
2345,2026-08-04 03:46:13.976,EMA8,1,48,30,BREAK_EVEN,0.0000
2353,2026-08-04 03:47:50.904,EMA8,1,12,5,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,12,10,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,12,15,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,12,20,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,12,25,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,12,30,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,24,5,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,24,10,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,24,15,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,24,20,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,24,25,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,24,30,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,48,5,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,48,10,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,48,15,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,48,20,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,48,25,HARD_STOP,-10.0000
2353,2026-08-04 03:47:50.904,EMA8,1,48,30,HARD_STOP,-10.0000
2357,2026-08-04 03:49:37.488,EMA24,1,12,5,TARGET,5.0000
2357,2026-08-04 03:49:37.488,EMA24,1,12,10,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,12,15,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,12,20,BREAK_EVEN,0.0000
2357,2026-08-04 03:49:37.488,EMA24,1,12,25,BREAK_EVEN,0.0000
