Prior8Min,Prior24Min,Gap824Min,PenMin,PenMax,Current8Min,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
45,30,1.5,0,4.5,-999,305,220,72.13,361,257,71.19
45,30,1.5,0,4.5,0,299,214,71.57,351,249,70.94
45,30,1.5,0,4.5,15,272,195,71.69,308,217,70.45
45,30,1.5,0.5,4.5,-999,287,208,72.47,349,248,71.06
45,30,1.5,0.5,4.5,0,281,202,71.89,339,240,70.8
45,30,1.5,0.5,4.5,15,254,183,72.05,296,208,70.27
45,30,1.5,1,4.5,-999,265,192,72.45,320,230,71.88
45,30,1.5,1,4.5,0,259,186,71.81,310,222,71.61
45,30,1.5,1,4.5,15,232,167,71.98,267,190,71.16
45,30,1.5,1,2.5,-999,128,98,76.56,137,96,70.07
45,30,1.5,1,2.5,0,128,98,76.56,137,96,70.07
45,30,1.5,1,2.5,15,128,98,76.56,137,96,70.07
45,30,3,0,4.5,-999,288,209,72.57,336,236,70.24
45,30,3,0,4.5,0,283,204,72.08,327,228,69.72
45,30,3,0,4.5,15,261,188,72.03,291,202,69.42
45,30,3,0.5,4.5,-999,270,197,72.96,324,227,70.06
45,30,3,0.5,4.5,0,265,192,72.45,315,219,69.52
45,30,3,0.5,4.5,15,243,176,72.43,279,193,69.18
45,30,3,1,4.5,-999,248,181,72.98,297,211,71.04
45,30,3,1,4.5,0,243,176,72.43,288,203,70.49
45,30,3,1,4.5,15,221,160,72.4,252,177,70.24
45,30,3,1,2.5,-999,126,97,76.98,133,92,69.17
45,30,3,1,2.5,0,126,97,76.98,133,92,69.17
45,30,3,1,2.5,15,126,97,76.98,133,92,69.17
45,30,4,0,4.5,-999,250,179,71.6,287,206,71.78
45,30,4,0,4.5,0,247,176,71.26,283,202,71.38
45,30,4,0,4.5,15,231,164,71.0,261,184,70.5
45,30,4,0.5,4.5,-999,232,167,71.98,276,198,71.74
45,30,4,0.5,4.5,0,229,164,71.62,272,194,71.32
45,30,4,0.5,4.5,15,213,152,71.36,250,176,70.4
45,30,4,1,4.5,-999,210,151,71.9,250,182,72.8
45,30,4,1,4.5,0,207,148,71.5,246,178,72.36
45,30,4,1,4.5,15,191,136,71.2,224,160,71.43
45,30,4,1,2.5,-999,111,86,77.48,122,86,70.49
45,30,4,1,2.5,0,111,86,77.48,122,86,70.49
45,30,4,1,2.5,15,111,86,77.48,122,86,70.49
45,30,5,0,4.5,-999,205,151,73.66,250,178,71.2
45,30,5,0,4.5,0,204,150,73.53,248,176,70.97
45,30,5,0,4.5,15,192,142,73.96,230,162,70.43
45,30,5,0.5,4.5,-999,188,139,73.94,239,170,71.13
45,30,5,0.5,4.5,0,187,138,73.8,237,168,70.89
45,30,5,0.5,4.5,15,175,130,74.29,219,154,70.32
45,30,5,1,4.5,-999,166,123,74.1,215,156,72.56
45,30,5,1,4.5,0,165,122,73.94,213,154,72.3
