bar,time,direction,family,version,segment,outcome
2771,2026-08-04 07:19:46.872,1,EMA8,NO_50_ORDER,DEV,STOP
2771,2026-08-04 07:19:46.872,1,EMA8,NO_50_ALL,DEV,STOP
2786,2026-08-04 07:22:37.292,-1,EMA24,NO_50_ORDER,DEV,TARGET
2786,2026-08-04 07:22:37.292,-1,EMA24,NO_50_ALL,DEV,TARGET
2796,2026-08-04 07:24:17.296,-1,EMA24,NO_50_ALL,DEV,TARGET
2847,2026-08-04 07:37:29.576,1,EMA24,CURRENT,DEV,TARGET
2847,2026-08-04 07:37:29.576,1,EMA24,NO_50_ORDER,DEV,TARGET
2847,2026-08-04 07:37:29.576,1,EMA24,NO_50_ALL,DEV,TARGET
2890,2026-08-04 07:42:47.812,1,PIN7,CURRENT,DEV,TARGET
2890,2026-08-04 07:42:47.812,1,PIN7,NO_50_ORDER,DEV,TARGET
2890,2026-08-04 07:42:47.812,1,PIN7,NO_50_ALL,DEV,TARGET
2891,2026-08-04 07:43:36.808,1,PIN7,CURRENT,DEV,TARGET
2891,2026-08-04 07:43:36.808,1,PIN7,NO_50_ORDER,DEV,TARGET
2891,2026-08-04 07:43:36.808,1,PIN7,NO_50_ALL,DEV,TARGET
2894,2026-08-04 07:44:59.916,1,PIN_STRICT,NO_50_ALL,DEV,NONE
2897,2026-08-04 07:45:16.056,1,EMA8,CURRENT,DEV,TARGET
2897,2026-08-04 07:45:16.056,1,EMA8,NO_50_ORDER,DEV,TARGET
2897,2026-08-04 07:45:16.056,1,EMA8,NO_50_ALL,DEV,TARGET
2904,2026-08-04 07:48:15.420,1,EMA8,CURRENT,DEV,TARGET
2904,2026-08-04 07:48:15.420,1,EMA8,NO_50_ORDER,DEV,TARGET
2904,2026-08-04 07:48:15.420,1,EMA8,NO_50_ALL,DEV,TARGET
2926,2026-08-04 07:58:03.960,1,EMA8,CURRENT,DEV,TARGET
2926,2026-08-04 07:58:03.960,1,EMA8,NO_50_ORDER,DEV,TARGET
2926,2026-08-04 07:58:03.960,1,EMA8,NO_50_ALL,DEV,TARGET
2928,2026-08-04 07:59:01.968,1,PIN7,CURRENT,DEV,TARGET
2928,2026-08-04 07:59:01.968,1,PIN7,NO_50_ORDER,DEV,TARGET
2928,2026-08-04 07:59:01.968,1,PIN7,NO_50_ALL,DEV,TARGET
3281,2026-08-04 11:00:49.780,-1,PIN_STRICT,CURRENT,DEV,STOP
3281,2026-08-04 11:00:49.780,-1,PIN_STRICT,NO_50_ORDER,DEV,STOP
3281,2026-08-04 11:00:49.780,-1,PIN_STRICT,NO_50_ALL,DEV,STOP
3302,2026-08-04 11:04:26.876,-1,PIN7,CURRENT,DEV,TARGET
3302,2026-08-04 11:04:26.876,-1,PIN7,NO_50_ORDER,DEV,TARGET
3302,2026-08-04 11:04:26.876,-1,PIN7,NO_50_ALL,DEV,TARGET
3304,2026-08-04 11:04:45.436,-1,PIN7,CURRENT,DEV,STOP
3304,2026-08-04 11:04:45.436,-1,PIN7,NO_50_ORDER,DEV,STOP
3304,2026-08-04 11:04:45.436,-1,PIN7,NO_50_ALL,DEV,STOP
3329,2026-08-04 11:10:58.540,1,EMA24,NO_50_ALL,DEV,NONE
3391,2026-08-04 11:40:16.704,-1,PIN7,CURRENT,DEV,TARGET
3391,2026-08-04 11:40:16.704,-1,PIN7,NO_50_ORDER,DEV,TARGET
3391,2026-08-04 11:40:16.704,-1,PIN7,NO_50_ALL,DEV,TARGET
3401,2026-08-04 11:43:31.520,-1,PIN7,CURRENT,DEV,STOP
3401,2026-08-04 11:43:31.520,-1,PIN7,NO_50_ORDER,DEV,STOP
3401,2026-08-04 11:43:31.520,-1,PIN7,NO_50_ALL,DEV,STOP
3417,2026-08-04 11:50:12.044,1,EMA8,CURRENT,DEV,TARGET
3417,2026-08-04 11:50:12.044,1,EMA8,NO_50_ORDER,DEV,TARGET
3417,2026-08-04 11:50:12.044,1,EMA8,NO_50_ALL,DEV,TARGET
3420,2026-08-04 11:51:53.460,1,EMA8,CURRENT,DEV,STOP
3420,2026-08-04 11:51:53.460,1,EMA8,NO_50_ORDER,DEV,STOP
3420,2026-08-04 11:51:53.460,1,EMA8,NO_50_ALL,DEV,STOP
3468,2026-08-04 12:13:40.804,1,EMA24,CURRENT,DEV,TARGET
3468,2026-08-04 12:13:40.804,1,EMA24,NO_50_ORDER,DEV,TARGET
3468,2026-08-04 12:13:40.804,1,EMA24,NO_50_ALL,DEV,TARGET
3472,2026-08-04 12:16:19.744,1,EMA24,CURRENT,DEV,TARGET
3472,2026-08-04 12:16:19.744,1,EMA24,NO_50_ORDER,DEV,TARGET
3472,2026-08-04 12:16:19.744,1,EMA24,NO_50_ALL,DEV,TARGET
3487,2026-08-04 12:26:10.448,-1,PIN7,NO_50_ORDER,DEV,TARGET
3487,2026-08-04 12:26:10.448,-1,PIN7,NO_50_ALL,DEV,TARGET
3520,2026-08-04 12:38:19.804,1,PIN7,NO_50_ORDER,DEV,TARGET
3520,2026-08-04 12:38:19.804,1,PIN7,NO_50_ALL,DEV,TARGET
3524,2026-08-04 12:40:15.916,1,EMA8,CURRENT,DEV,TARGET
3524,2026-08-04 12:40:15.916,1,EMA8,NO_50_ORDER,DEV,TARGET
3524,2026-08-04 12:40:15.916,1,EMA8,NO_50_ALL,DEV,TARGET
3530,2026-08-04 12:43:46.932,1,EMA8,CURRENT,DEV,TARGET
3530,2026-08-04 12:43:46.932,1,EMA8,NO_50_ORDER,DEV,TARGET
3530,2026-08-04 12:43:46.932,1,EMA8,NO_50_ALL,DEV,TARGET
3560,2026-08-04 12:50:30.808,-1,PIN7,CURRENT,DEV,TARGET
3560,2026-08-04 12:50:30.808,-1,PIN7,NO_50_ORDER,DEV,TARGET
3560,2026-08-04 12:50:30.808,-1,PIN7,NO_50_ALL,DEV,TARGET
3565,2026-08-04 12:51:50.464,-1,EMA8,CURRENT,DEV,TARGET
3565,2026-08-04 12:51:50.464,-1,EMA8,NO_50_ORDER,DEV,TARGET
