Configuration,BarNumber,Time,Direction,Families,Segment,Outcome,TicksSeen
R4_TAIL3_4,12898,2026-08-07 07:46:23.264,1,EMA24,DEV,TARGET,694
R4_TAIL3_4,12905,2026-08-07 07:47:26.588,1,EMA8,DEV,TARGET,189
R4_TAIL3_4,12912,2026-08-07 07:48:00.756,1,PIN7,DEV,STOP,2313
R4_TAIL3_4,12968,2026-08-07 07:53:28.052,-1,EMA50,DEV,TARGET,23163
R4_TAIL3_4,12999,2026-08-07 07:58:06.120,1,PIN7,DEV,TARGET,1508
R4_TAIL3_4,13000,2026-08-07 07:58:15.528,1,PIN7,DEV,TARGET,4563
R4_TAIL3_4,13004,2026-08-07 07:58:46.592,1,EMA8,DEV,TARGET,261
R4_TAIL3_4,13694,2026-08-07 11:11:00.920,-1,EMA50,DEV,TARGET,608
R4_TAIL3_4,13698,2026-08-07 11:12:50.400,-1,PIN7,DEV,TARGET,2057
R4_TAIL3_4,13702,2026-08-07 11:14:35.388,-1,PIN,DEV,TARGET,732
R4_TAIL3_4,13745,2026-08-07 11:38:25.692,-1,EMA8,DEV,TARGET,1531
R4_TAIL3_4,13756,2026-08-07 11:46:09.368,-1,EMA8,DEV,TARGET,1974
R4_TAIL3_4,13758,2026-08-07 11:46:35.596,-1,EMA8,DEV,STOP,4811
R4_TAIL3_4,13793,2026-08-07 12:01:33.008,1,PIN,DEV,STOP,1883
R4_TAIL3_4,13822,2026-08-07 12:13:22.120,1,EMA8,DEV,TARGET,7038
R4_TAIL3_4,13831,2026-08-07 12:16:17.184,1,EMA8,DEV,TARGET,2820
R4_TAIL3_4,13833,2026-08-07 12:16:47.012,1,EMA8,DEV,TARGET,355
R4_TAIL3_4,13909,2026-08-07 12:43:12.808,-1,EMA24,DEV,TARGET,2471
R4_TAIL3_4,13920,2026-08-07 12:47:05.548,-1,EMA50,DEV,STOP,5617
R4_TAIL3_4,13964,2026-08-07 12:56:03.436,1,EMA50,DEV,TARGET,5651
R4_TAIL3_4,14789,2026-08-10 06:31:10.920,1,EMA8,DEV,TARGET,4797
R4_TAIL3_4,14794,2026-08-10 06:31:38.280,1,PIN7,DEV,STOP,1998
R4_TAIL3_4,14827,2026-08-10 06:34:48.600,-1,PIN7,DEV,TARGET,2397
R4_TAIL3_4,14829,2026-08-10 06:35:00.164,-1,PIN7,DEV,STOP,6278
R4_TAIL3_4,14838,2026-08-10 06:35:29.188,-1,EMA8,DEV,STOP,2855
R4_TAIL3_4,14843,2026-08-10 06:35:41.944,-1,EMA24,DEV,STOP,12847
R4_TAIL3_4,14845,2026-08-10 06:35:55.460,-1,EMA50,DEV,STOP,7778
R4_TAIL3_4,14872,2026-08-10 06:38:20.768,-1,PIN7,DEV,TARGET,14672
R4_TAIL3_4,14886,2026-08-10 06:39:57.820,-1,EMA50,DEV,TARGET,3101
R4_TAIL3_4,14904,2026-08-10 06:41:32.076,-1,EMA50,DEV,STOP,3656
R4_TAIL3_4,14921,2026-08-10 06:43:02.040,1,EMA24,DEV,STOP,7179
R4_TAIL3_4,15091,2026-08-10 07:01:05.984,1,EMA50,DEV,TARGET,8952
R4_TAIL3_4,15139,2026-08-10 07:16:45.780,1,EMA8,DEV,STOP,7103
R4_TAIL3_4,15148,2026-08-10 07:20:06.612,1,PIN7,DEV,STOP,13288
R4_TAIL3_4,15187,2026-08-10 07:30:35.224,1,EMA8,DEV,TARGET,2454
R4_TAIL3_4,15232,2026-08-10 07:45:35.580,1,PIN7,DEV,TARGET,1285
R4_TAIL3_4,15260,2026-08-10 07:54:58.204,-1,EMA8,DEV,TARGET,578
R4_TAIL3_4,15264,2026-08-10 07:55:17.964,-1,EMA8,DEV,TARGET,739
R4_TAIL3_4,15287,2026-08-10 07:59:40.176,-1,EMA8,DEV,TARGET,699
R4_TAIL3_4,15852,2026-08-10 11:20:25.288,-1,PIN7,DEV,STOP,3494
R4_TAIL3_4,15868,2026-08-10 11:33:38.444,-1,EMA50,DEV,TARGET,6579
R4_TAIL3_4,15883,2026-08-10 11:45:56.644,1,EMA8,DEV,TARGET,8268
R4_TAIL3_4,15886,2026-08-10 11:50:00.164,1,EMA8,DEV,TARGET,834
R4_TAIL3_4,15890,2026-08-10 11:52:49.700,1,EMA8,DEV,TARGET,1519
R4_TAIL3_4,15901,2026-08-10 12:03:31.532,1,EMA8,DEV,TARGET,522
R4_TAIL3_4,15967,2026-08-10 12:54:25.264,-1,EMA24,DEV,TARGET,850
