bar,time,direction,body,tail,bar_distance8,close_depth,body_depth,core,strict,prime,segment,outcome
15175,2026-08-12 07:37:31.176,1,2.0,3.0,2.7705,10,10,False,False,True,DEV,TARGET
15177,2026-08-12 07:38:09.784,1,1.0,4.0,3.676,10,10,False,False,True,DEV,STOP
15183,2026-08-12 07:39:46.416,1,0.0,5.0,-4.6156,1,1,False,False,True,DEV,TARGET
15217,2026-08-12 07:51:05.828,-1,1.0,4.0,0.6657,1,1,False,False,True,DEV,TARGET
15218,2026-08-12 07:51:23.408,-1,2.0,3.0,1.74,10,2,False,False,True,DEV,STOP
15236,2026-08-12 07:55:56.424,-1,1.0,4.0,4.0005,10,10,False,False,True,DEV,TARGET
15253,2026-08-12 08:00:24.920,-1,0.0,5.0,-4.179,1,1,False,False,False,DEV,TARGET
15261,2026-08-12 08:02:35.584,-1,2.0,3.0,-2.9413,1,1,False,False,False,DEV,TARGET
15264,2026-08-12 08:03:29.420,-1,1.0,4.0,-1.7364,1,1,False,False,False,DEV,TARGET
15287,2026-08-12 08:11:16.808,-1,1.0,4.0,0.1811,10,10,False,False,False,DEV,STOP
15315,2026-08-12 08:22:05.956,-1,1.0,4.0,-1.8843,1,1,False,False,False,DEV,TARGET
15316,2026-08-12 08:22:25.908,-1,2.0,3.0,-0.2433,5,4,False,False,False,DEV,TARGET
15317,2026-08-12 08:22:37.388,-1,2.0,3.0,1.033,10,10,False,False,False,DEV,TARGET
15364,2026-08-12 08:39:27.024,-1,2.0,3.0,-1.3857,5,1,False,False,False,DEV,TARGET
15393,2026-08-12 09:00:23.348,1,0.0,5.0,-1.9755,1,1,False,False,False,DEV,TARGET
15394,2026-08-12 09:00:34.568,1,2.0,3.0,-0.3143,10,7,False,False,False,DEV,TARGET
15433,2026-08-12 09:41:16.768,1,1.0,4.0,4.5722,10,10,False,False,False,DEV,STOP
15439,2026-08-12 09:48:45.852,1,2.0,3.0,-2.3073,1,1,False,False,False,DEV,TARGET
15449,2026-08-12 10:01:23.176,1,2.0,3.0,-1.5376,3,1,False,False,False,DEV,TARGET
15452,2026-08-12 10:06:32.956,1,2.0,3.0,-0.0294,8,1,False,False,False,DEV,TARGET
15500,2026-08-12 11:11:26.396,1,2.0,3.0,-0.6542,10,1,False,False,True,DEV,TARGET
15511,2026-08-12 11:31:51.564,1,2.0,3.0,-0.5486,2,1,False,False,True,DEV,TARGET
15513,2026-08-12 11:36:03.720,1,2.0,3.0,3.0508,10,10,False,False,True,DEV,TARGET
15514,2026-08-12 11:40:25.116,1,1.0,4.0,2.8173,10,10,False,False,True,DEV,TARGET
15548,2026-08-12 12:42:11.932,-1,2.0,3.0,0.5804,10,10,False,False,True,DEV,TARGET
15567,2026-08-12 12:54:35.500,-1,1.0,4.0,3.0538,10,10,True,False,True,DEV,TARGET
15571,2026-08-12 12:55:00.208,-1,2.0,3.0,-0.3094,2,1,False,False,True,DEV,TARGET
15573,2026-08-12 12:55:17.252,-1,2.0,3.0,2.5906,10,10,True,False,True,DEV,STOP
15631,2026-08-12 15:04:50.448,-1,2.0,3.0,-2.4095,5,1,False,False,False,DEV,TARGET
15640,2026-08-12 15:21:59.388,-1,0.0,5.0,-1.9513,1,1,False,False,False,DEV,TARGET
15654,2026-08-12 16:48:34.312,-1,2.0,3.0,0.3145,7,6,False,False,False,DEV,STOP
15657,2026-08-12 17:00:25.172,-1,1.0,4.0,-1.1456,1,1,False,False,False,DEV,STOP
15664,2026-08-12 17:07:09.812,1,2.0,3.0,1.4178,1,1,False,False,False,DEV,STOP
15672,2026-08-12 17:23:54.424,1,1.0,4.0,-3.1747,3,2,False,False,False,DEV,STOP
15673,2026-08-12 17:24:36.292,1,2.0,3.0,-1.247,4,4,False,False,False,DEV,STOP
15697,2026-08-12 18:28:55.020,-1,1.0,4.0,1.0481,1,1,False,False,False,DEV,STOP
15723,2026-08-12 21:10:00.340,1,1.0,4.0,3.247,10,10,True,False,False,DEV,STOP
15729,2026-08-12 21:28:40.464,1,2.0,3.0,-1.326,3,3,False,False,False,DEV,TARGET
15730,2026-08-12 21:36:19.488,1,2.0,3.0,0.1909,5,4,False,False,False,DEV,TARGET
15737,2026-08-12 22:12:02.700,1,1.0,4.0,1.7479,10,10,False,False,False,DEV,TARGET
15739,2026-08-12 22:30:33.872,1,0.0,5.0,2.8845,10,10,False,False,False,DEV,STOP
15741,2026-08-12 22:34:54.164,1,2.0,3.0,-1.2674,0,0,False,False,False,DEV,STOP
15748,2026-08-12 23:17:25.148,1,2.0,3.0,-1.5844,3,3,False,False,False,DEV,STOP
15768,2026-08-13 00:39:23.848,1,2.0,3.0,1.2263,7,6,False,False,False,DEV,TARGET
15769,2026-08-13 00:42:03.120,1,2.0,3.0,2.176,8,8,False,False,False,DEV,TARGET
