Version,Families,BarNumber,Time,Direction,Segment,TickOutcome,TicksSeen
CURRENT,PIN7,10544,2026-08-07 07:23:56.392,1,DEV,TARGET,520
CURRENT,EMA8,10548,2026-08-07 07:24:15.416,1,DEV,TARGET,11815
CURRENT,EMA8,10550,2026-08-07 07:24:30.576,1,DEV,TARGET,7955
CURRENT,PIN_STRICT,10555,2026-08-07 07:25:38.068,1,DEV,TARGET,3925
CURRENT,EMA8,10562,2026-08-07 07:27:00.716,1,DEV,TARGET,11723
CURRENT,EMA8,10569,2026-08-07 07:28:15.872,1,DEV,TARGET,3968
CURRENT,EMA8,10571,2026-08-07 07:28:27.940,1,DEV,TARGET,2729
CURRENT,PIN7,10573,2026-08-07 07:28:43.944,1,DEV,TARGET,412
CURRENT,EMA8,10578,2026-08-07 07:29:34.648,1,DEV,TARGET,2717
CURRENT,EMA8,10581,2026-08-07 07:30:03.296,1,DEV,STOP,7206
CURRENT,EMA8,10627,2026-08-07 07:36:09.288,-1,DEV,TARGET,242
CURRENT,EMA8,10630,2026-08-07 07:36:18.460,-1,DEV,TARGET,8530
CURRENT,EMA24,10668,2026-08-07 07:40:36.996,-1,DEV,TARGET,16255
CURRENT,PIN7,10695,2026-08-07 07:43:47.252,-1,DEV,TARGET,13053
CURRENT,EMA8,10714,2026-08-07 07:46:07.560,1,DEV,TARGET,6780
CURRENT,PIN7,10787,2026-08-07 07:58:15.320,1,DEV,TARGET,4563
CURRENT,EMA24,10795,2026-08-07 07:59:29.136,1,DEV,TARGET,2602
CURRENT,PIN7,11240,2026-08-07 11:06:26.044,-1,DEV,TARGET,14919
CURRENT,PIN7,11250,2026-08-07 11:13:32.356,-1,DEV,TARGET,2641
CURRENT,PIN7,11252,2026-08-07 11:14:36.620,-1,DEV,STOP,21261
CURRENT,EMA8,11256,2026-08-07 11:17:21.284,-1,DEV,STOP,6702
CURRENT,EMA24,11261,2026-08-07 11:20:49.996,-1,DEV,TARGET,4195
CURRENT,PIN7,11274,2026-08-07 11:31:12.824,-1,DEV,STOP,9151
CURRENT,PIN7,11317,2026-08-07 12:01:23.260,1,DEV,TARGET,321
CURRENT,PIN_STRICT,11331,2026-08-07 12:07:24.296,1,DEV,TARGET,9545
CURRENT,EMA8,11342,2026-08-07 12:13:23.056,1,DEV,TARGET,8947
CURRENT,EMA8,11344,2026-08-07 12:15:08.788,1,DEV,TARGET,2351
CURRENT,PIN7,11350,2026-08-07 12:16:59.584,1,DEV,TARGET,641
CURRENT,PIN7,11440,2026-08-07 12:58:59.036,1,DEV,TARGET,53
CURRENT,EMA24,11995,2026-08-10 06:31:48.184,1,DEV,TARGET,786
CURRENT,EMA8,11999,2026-08-10 06:32:38.048,1,DEV,TARGET,757
CURRENT,EMA24,12030,2026-08-10 06:36:08.676,-1,DEV,STOP,2248
CURRENT,PIN7,12056,2026-08-10 06:39:22.584,-1,DEV,STOP,7696
CURRENT,PIN7,12220,2026-08-10 07:10:41.420,1,DEV,STOP,5194
CURRENT,EMA24,12231,2026-08-10 07:18:36.816,1,DEV,TARGET,6069
CURRENT,EMA24,12323,2026-08-10 07:56:57.028,-1,DEV,TARGET,1680
CURRENT,EMA8,12326,2026-08-10 07:57:25.276,-1,DEV,TARGET,13612
CURRENT,EMA8,12328,2026-08-10 07:58:32.656,-1,DEV,TARGET,7776
CURRENT,EMA8,12741,2026-08-10 12:01:25.288,1,DEV,TARGET,3492
CURRENT,EMA8,12747,2026-08-10 12:13:28.732,1,DEV,TARGET,8461
CURRENT,EMA8,12749,2026-08-10 12:17:41.588,1,DEV,TARGET,876
CURRENT,EMA24,12792,2026-08-10 12:55:05.104,-1,DEV,TARGET,230
CURRENT,EMA8,13319,2026-08-11 06:31:41.036,-1,DEV,TARGET,1222
CURRENT,EMA8,13322,2026-08-11 06:31:59.108,-1,DEV,TARGET,5263
CURRENT,EMA8,13324,2026-08-11 06:32:15.448,-1,DEV,TARGET,312
CURRENT,EMA8,13329,2026-08-11 06:32:42.888,-1,DEV,TARGET,17500
CURRENT,EMA8,13341,2026-08-11 06:35:10.428,-1,DEV,TARGET,3552
CURRENT,PIN7,13344,2026-08-11 06:35:35.276,-1,DEV,TARGET,6481
CURRENT,PIN7,13345,2026-08-11 06:35:49.752,-1,DEV,STOP,13478
CURRENT,PIN7,13346,2026-08-11 06:36:02.564,-1,DEV,STOP,3493
CURRENT,EMA24,13351,2026-08-11 06:36:56.020,-1,DEV,STOP,7798
CURRENT,PIN7,13389,2026-08-11 06:44:24.384,-1,DEV,STOP,2762
CURRENT,EMA24,13576,2026-08-11 07:40:32.620,-1,DEV,STOP,9153
CURRENT,PIN7,13902,2026-08-11 11:23:31.400,-1,DEV,TARGET,13480
CURRENT,PIN_STRICT,13910,2026-08-11 11:29:04.884,-1,DEV,TARGET,4269
CURRENT,PIN_STRICT,13916,2026-08-11 11:29:56.236,-1,DEV,STOP,4467
CURRENT,PIN7,13972,2026-08-11 12:23:11.516,1,DEV,TARGET,2186
CURRENT,EMA8,13985,2026-08-11 12:36:35.848,1,DEV,TARGET,988
CURRENT,PIN7,13987,2026-08-11 12:38:21.000,1,DEV,STOP,11710
CURRENT,EMA8,14018,2026-08-11 12:54:13.412,-1,DEV,STOP,1983
CURRENT,PIN7,14043,2026-08-11 12:59:39.544,-1,DEV,STOP,2407
CURRENT,PIN_STRICT,14765,2026-08-12 06:31:20.752,-1,DEV,TARGET,1978
CURRENT,PIN_STRICT,14766,2026-08-12 06:31:26.692,-1,DEV,TARGET,2239
CURRENT,EMA8,14782,2026-08-12 06:33:10.604,-1,DEV,STOP,9015
CURRENT,EMA24,14787,2026-08-12 06:33:51.856,-1,DEV,TARGET,767
CURRENT,PIN7,14831,2026-08-12 06:38:44.284,-1,DEV,TARGET,13008
CURRENT,PIN7,14836,2026-08-12 06:40:03.360,-1,DEV,TARGET,1464
CURRENT,PIN7,14975,2026-08-12 07:02:32.248,-1,DEV,TARGET,12093
CURRENT,PIN7,15020,2026-08-12 07:16:09.928,1,DEV,TARGET,16477
CURRENT,PIN7,15028,2026-08-12 07:18:18.288,1,DEV,TARGET,329
CURRENT,EMA8,15094,2026-08-12 07:31:10.180,-1,DEV,TARGET,1
CURRENT,EMA8,15096,2026-08-12 07:31:10.232,-1,DEV,TARGET,1
CURRENT,EMA8,15098,2026-08-12 07:31:10.312,-1,DEV,TARGET,1
CURRENT,EMA24,15139,2026-08-12 07:31:20.008,1,DEV,TARGET,5135
CURRENT,PIN7,15146,2026-08-12 07:31:46.028,1,DEV,STOP,8366
CURRENT,EMA8,15148,2026-08-12 07:32:03.888,1,DEV,STOP,4136
CURRENT,PIN7,15175,2026-08-12 07:37:31.176,1,DEV,TARGET,2954
CURRENT,PIN7,15177,2026-08-12 07:38:09.784,1,DEV,STOP,9426
CURRENT,EMA24,15182,2026-08-12 07:39:18.036,1,DEV,TARGET,5375
CURRENT,EMA8,15196,2026-08-12 07:43:43.552,1,DEV,TARGET,673
CURRENT,EMA24,15226,2026-08-12 07:53:06.900,-1,DEV,TARGET,381
CURRENT,EMA24,15240,2026-08-12 07:56:17.312,-1,DEV,TARGET,765
CURRENT,PIN7,15513,2026-08-12 11:36:03.720,1,DEV,TARGET,8273
CURRENT,PIN7,15514,2026-08-12 11:40:25.116,1,DEV,TARGET,2264
CURRENT,EMA8,15518,2026-08-12 11:48:22.108,1,DEV,TARGET,4075
CURRENT,PIN7,15548,2026-08-12 12:42:11.932,-1,DEV,TARGET,895
CURRENT,EMA24,15553,2026-08-12 12:45:32.068,-1,DEV,TARGET,1516
CURRENT,PIN7,15567,2026-08-12 12:54:35.500,-1,DEV,TARGET,5064
CURRENT,EMA8,15570,2026-08-12 12:54:50.036,-1,DEV,TARGET,1388
CURRENT,PIN7,15573,2026-08-12 12:55:17.252,-1,DEV,STOP,12998
CURRENT,EMA8,16016,2026-08-13 06:34:21.652,1,DEV,TARGET,1079
CURRENT,PIN7,16026,2026-08-13 06:35:48.232,1,DEV,TARGET,6765
CURRENT,PIN7,16030,2026-08-13 06:36:43.512,1,DEV,TARGET,2348
CURRENT,EMA8,16037,2026-08-13 06:39:21.008,1,DEV,TARGET,1580
CURRENT,PIN7,16040,2026-08-13 06:39:57.076,1,DEV,STOP,10757
CURRENT,PIN_STRICT,16104,2026-08-13 07:01:09.296,1,DEV,TARGET,8785
CURRENT,EMA8,16111,2026-08-13 07:04:44.408,1,DEV,TARGET,1305
CURRENT,EMA24,16122,2026-08-13 07:08:55.156,1,DEV,TARGET,841
CURRENT,PIN7,16127,2026-08-13 07:12:43.788,1,DEV,STOP,19609
CURRENT,EMA8,16132,2026-08-13 07:15:52.120,1,DEV,STOP,3444
CURRENT,EMA8,16156,2026-08-13 07:25:26.124,1,DEV,TARGET,16100
CURRENT,EMA8,16159,2026-08-13 07:27:01.668,1,DEV,TARGET,8148
CURRENT,EMA8,16173,2026-08-13 07:35:26.280,1,DEV,TARGET,533
CURRENT,EMA8,16195,2026-08-13 07:47:27.768,-1,DEV,TARGET,290
CURRENT,PIN_STRICT,16200,2026-08-13 07:49:10.108,-1,DEV,TARGET,152
CURRENT,PIN_STRICT,16202,2026-08-13 07:49:21.080,-1,DEV,STOP,8040
CURRENT,EMA8,16206,2026-08-13 07:50:03.240,-1,DEV,STOP,4209
CURRENT,PIN7,16549,2026-08-13 11:35:43.984,1,DEV,TARGET,7208
CURRENT,PIN7,16556,2026-08-13 11:50:33.608,1,DEV,TARGET,7595
CURRENT,EMA8,16561,2026-08-13 12:00:25.748,1,DEV,TARGET,3307
CURRENT,EMA8,16564,2026-08-13 12:05:25.360,1,DEV,TARGET,853
CURRENT,PIN7,16567,2026-08-13 12:07:08.992,1,DEV,TARGET,3566
CURRENT,PIN7,16568,2026-08-13 12:08:40.384,1,DEV,TARGET,2173
CURRENT,EMA24,16577,2026-08-13 12:17:46.332,1,DEV,TARGET,2590
CURRENT,PIN7,16581,2026-08-13 12:22:47.596,1,DEV,STOP,7723
CURRENT,PIN7,16582,2026-08-13 12:25:08.080,1,DEV,STOP,2208
CURRENT,EMA24,16585,2026-08-13 12:27:53.456,1,DEV,TARGET,8599
CURRENT,EMA8,16885,2026-08-14 06:31:24.252,-1,DEV,TARGET,3145
CURRENT,EMA24,16914,2026-08-14 06:40:04.108,-1,DEV,STOP,18855
CURRENT,EMA8,16999,2026-08-14 07:09:12.716,1,DEV,STOP,14110
CURRENT,EMA24,17002,2026-08-14 07:10:06.516,1,DEV,STOP,9982
CURRENT,EMA8,17041,2026-08-14 07:23:01.072,-1,DEV,TARGET,17800
CURRENT,EMA8,17046,2026-08-14 07:24:38.732,-1,DEV,TARGET,16116
CURRENT,EMA8,17053,2026-08-14 07:26:40.256,-1,DEV,TARGET,1983
CURRENT,EMA8,17055,2026-08-14 07:27:23.612,-1,DEV,TARGET,7941
CURRENT,EMA24,17063,2026-08-14 07:30:14.040,-1,DEV,TARGET,1061
CURRENT,PIN7,17066,2026-08-14 07:30:44.692,-1,DEV,TARGET,3558
CURRENT,PIN7,17067,2026-08-14 07:30:57.944,-1,DEV,TARGET,1684
CURRENT,EMA8,17069,2026-08-14 07:31:38.368,-1,DEV,TARGET,8782
CURRENT,EMA8,17071,2026-08-14 07:32:19.432,-1,DEV,TARGET,3073
CURRENT,EMA8,17075,2026-08-14 07:33:20.016,-1,DEV,STOP,24851
CURRENT,EMA8,17078,2026-08-14 07:34:58.808,-1,DEV,STOP,11969
CURRENT,PIN7,17326,2026-08-14 11:10:46.004,1,DEV,TARGET,4671
CURRENT,PIN7,17344,2026-08-14 11:43:01.040,1,DEV,TARGET,10538
CURRENT,PIN7,17728,2026-08-17 06:32:50.512,-1,DEV,TARGET,4387
CURRENT,PIN7,17729,2026-08-17 06:33:01.284,-1,DEV,STOP,9892
CURRENT,PIN7,17735,2026-08-17 06:34:11.060,-1,DEV,TARGET,5031
CURRENT,EMA24,17748,2026-08-17 06:36:21.240,-1,DEV,TARGET,15198
CURRENT,EMA24,17750,2026-08-17 06:37:30.608,-1,DEV,TARGET,3343
CURRENT,EMA8,17823,2026-08-17 07:00:14.276,-1,DEV,TARGET,938
CURRENT,PIN7,17840,2026-08-17 07:03:12.332,-1,DEV,STOP,4568
CURRENT,PIN7,17881,2026-08-17 07:22:17.260,-1,DEV,NONE,36712
