EMA,PullbackBars,Shape,Prior24Min,CurrentSlopeMin,Gap1Min,Gap2OrPenMin,PenMax,RecoveryOrDispMin,DevN,DevTarget,DevRate,HoldN,HoldTarget,HoldRate
8,1,no_tail,45,15,3,1,4.5,0,34,24,70.59,24,17,70.83
8,1,no_tail,45,15,3,1,6,0,34,24,70.59,24,17,70.83
8,1,no_tail,45,15,5,0,2.5,0,43,32,74.42,31,22,70.97
8,1,no_tail,45,15,5,0,4.5,0,49,35,71.43,33,24,72.73
8,1,no_tail,45,15,5,0,6,0,49,35,71.43,33,24,72.73
8,1,no_tail,45,15,5,1,2.5,0,26,19,73.08,21,14,66.67
8,1,no_tail,45,15,5,1,4.5,0,32,22,68.75,23,16,69.57
8,1,no_tail,45,15,5,1,6,0,32,22,68.75,23,16,69.57
8,1,no_tail,45,30,3,0,2.5,0,38,28,73.68,28,20,71.43
8,1,no_tail,45,30,3,0,2.5,1,1,1,100.0,1,1,100.0
8,1,no_tail,45,30,3,0,4.5,0,38,28,73.68,28,20,71.43
8,1,no_tail,45,30,3,0,4.5,1,1,1,100.0,1,1,100.0
8,1,no_tail,45,30,3,0,6,0,38,28,73.68,28,20,71.43
8,1,no_tail,45,30,3,0,6,1,1,1,100.0,1,1,100.0
8,1,no_tail,45,30,3,1,2.5,0,21,15,71.43,18,12,66.67
8,1,no_tail,45,30,3,1,4.5,0,21,15,71.43,18,12,66.67
8,1,no_tail,45,30,3,1,6,0,21,15,71.43,18,12,66.67
8,1,no_tail,45,30,5,0,2.5,0,38,28,73.68,27,19,70.37
8,1,no_tail,45,30,5,0,4.5,0,38,28,73.68,27,19,70.37
8,1,no_tail,45,30,5,0,6,0,38,28,73.68,27,19,70.37
8,1,no_tail,45,30,5,1,2.5,0,21,15,71.43,17,11,64.71
8,1,no_tail,45,30,5,1,4.5,0,21,15,71.43,17,11,64.71
8,1,no_tail,45,30,5,1,6,0,21,15,71.43,17,11,64.71
8,1,tail_1,20,0,3,0,2.5,0,99,69,69.7,111,81,72.97
8,1,tail_1,20,0,3,0,2.5,1,33,25,75.76,42,29,69.05
8,1,tail_1,20,0,3,0,4.5,0,148,104,70.27,154,111,72.08
8,1,tail_1,20,0,3,0,4.5,1,59,43,72.88,65,46,70.77
8,1,tail_1,20,0,3,0,6,0,148,104,70.27,154,111,72.08
8,1,tail_1,20,0,3,0,6,1,59,43,72.88,65,46,70.77
8,1,tail_1,20,0,3,1,2.5,0,53,39,73.58,61,43,70.49
8,1,tail_1,20,0,3,1,2.5,1,13,11,84.62,14,9,64.29
8,1,tail_1,20,0,3,1,4.5,0,102,74,72.55,104,73,70.19
8,1,tail_1,20,0,3,1,4.5,1,39,29,74.36,37,26,70.27
